AHRR,ADIRF-AS1,ADRA2A,AK8,APCDD1L,B3GALT2,BMP7,CDKN1C,CHI3L1,CLEC10A,COL5A1,CRACR2B,CTTNBP2,DSC2,DSTNP2,FANK1,FGD5,FSTL1,GCNT3,GYS2,H19,KCNJ2-AS1,KIT,LHX8,LINC00599,LRRN3,MAGI2-AS3,MIR4697HG,MMP3,MOG,MYO1E,NR4A1,NR4A2,NT5C1A,P2RY12,P2RY6,PACRG-AS1,PID1,PLA2G4C,PTGFR,RAD52,SASH1,SCIN,SEMA6B,SHISA6,SLC25A20,SPAG6,SPRY2,ST6GALNAC1,SYCE1L,TCEB3B,TIMM8A,TMEM163,TMTC1,TPPP3,TREM2,TYR,VSIG4,ZNF618,ZP4
4.299148000000001,5.687668,5.3558650000000005,4.618309,4.5181379999999995,4.971063,4.710964,6.923075999999999,11.169483,6.5209790000000005,4.54855,5.58694,3.750732,6.431015,6.798071,6.564534,4.70442,6.600181,4.2041129999999995,3.493958,5.450761,5.192028,5.795308,3.36769,4.6711540000000005,8.185694999999999,4.63748,6.129303,4.3443309999999995,4.10955,5.644491,5.2034080000000005,4.253476,4.795331,5.113919999999999,5.949051,4.219457,6.8009889999999995,5.810785,3.9286769999999995,5.7356620000000005,5.690226999999999,4.147933999999999,5.316084,3.7387010000000003,8.260691,4.588996,3.886285,4.704421,5.739636,5.06997,5.071102,4.578189,5.631908999999999,7.137241,4.901696,4.304233999999999,5.1631599999999995,5.435032,4.196209
4.410825,5.659697,4.818813,4.324993,5.078182,4.444618,4.980633999999999,7.364486,11.237826,6.932301,4.835348000000001,5.9484449999999995,3.810633,6.889278999999999,6.560472,5.917491,4.7359160000000005,5.531719,3.998522,3.2953879999999995,5.630332,5.213314,6.087065,3.4692760000000002,4.672639,6.3536660000000005,4.387359,6.306589,4.472391,4.1419440000000005,5.86561,5.285584,4.892738,4.832902,4.987894,5.935182,4.321258,7.450661,5.887836,3.8586910000000003,6.073885,5.784138,4.1819180000000005,5.35332,3.8251239999999997,7.730115,4.561488,3.8777269999999997,4.78188,5.692162000000001,5.338504,4.938989,4.404987,5.519886,7.2750509999999995,4.816262,4.529221,6.48027,5.5281199999999995,4.2611870000000005
4.435942,5.470447,5.100385,4.861258,5.451011,4.360843,4.812218,7.171625,12.216559,7.324211,4.644424,6.087851000000001,4.408023,7.340075,6.245445,6.025819,4.564042,6.067511,4.518212999999999,3.372546,5.442476999999999,5.576164,5.015282,3.645689,4.698228,6.818873,4.3573699999999995,5.970008,4.432580000000001,4.13572,5.596736,5.5811,4.987426999999999,4.646679,4.777344,5.757092,4.3254529999999995,7.413425999999999,5.604572,4.057385,5.696267,5.458586,4.224076999999999,5.587921,3.5831199999999996,7.838316000000001,4.446998000000001,3.91074,4.802757,5.747106,5.675077,4.770608999999999,4.308772,6.390209,7.203961,4.648297,4.647194,6.070876,5.621987,3.8677879999999996
4.531693,6.050225,5.138828,5.652051,4.469847,5.5480410000000004,4.780039,7.378713,10.830759,7.518700999999999,4.670778,5.97532,3.7770610000000002,6.569552000000001,6.974817999999999,5.833028,4.688763,5.687581,4.477794,3.294379,5.397215,4.446107,5.126612000000001,3.571188,4.994389,8.468551,4.218274,6.124353,4.089909,4.146935,5.8330519999999995,6.118921,4.7189239999999995,4.650099,5.857241999999999,6.2182699999999995,4.535565,7.450228999999999,5.073595,4.122445,5.428624,6.571403999999999,4.111397,5.4790730000000005,3.4741760000000004,8.192915,4.266445,3.9416589999999996,5.973193,6.320621,5.390939,4.827559,4.346494,5.502733999999999,7.441521000000001,4.820769,4.718662999999999,5.474465,5.8275809999999995,4.198543
5.247637999999999,6.237727,5.063942,4.946803,4.660898,5.179806,4.567522,6.894019999999999,12.009652,7.093707000000001,4.45294,6.292092,4.172366,6.95286,6.446276,7.284072,4.835822,5.063092,4.680174,3.221803,4.689596,5.63716,6.450596,3.4885050000000004,5.110049,8.244969000000001,4.201911,6.606884,4.560261,4.234233000000001,5.751397,5.506416000000001,4.66518,4.8814910000000005,4.846051,6.327365,4.0649,7.628269,4.793454,3.9576629999999997,5.937115,6.2446459999999995,4.308158000000001,5.469092,3.730157,7.466336,4.291098000000001,4.258204,4.620337999999999,5.7569,5.288543,4.908978,4.377224,5.733642,6.456481,4.727609999999999,4.353514,6.151732,5.292466,3.957039
4.438155,4.9844550000000005,5.160533,4.838193,4.678195,4.13103,4.872955999999999,7.369317,11.469558000000001,6.472347,4.396128,5.670173999999999,3.273415,7.798549,6.524035,6.788154,4.624636,5.838881,4.598831,3.314402,5.301122,5.446004,5.746565,3.4598449999999996,4.931099,5.9001470000000005,4.460388,6.311338,4.287669999999999,4.111219,5.499189,6.522489,4.627823,4.897932,5.548472,5.922078,4.011707,7.432041000000001,5.5866,4.167555,5.9819580000000006,5.358422,4.121295,5.236745,3.478561,8.109067999999999,4.945062999999999,4.157351,4.95781,5.544621,5.3022730000000005,5.415136,4.549221,5.446152,7.1555539999999995,4.533753,4.360426,5.742030000000001,5.514908,4.071034
4.44543,5.939601000000001,4.850564,5.407893,4.594844,5.2834080000000005,4.424869999999999,7.095033,10.241553999999999,6.910036,4.5594730000000006,6.350324,3.842317,7.052583,6.749947,6.188594999999999,4.734282,6.287401999999999,4.497491,3.5757769999999995,6.1989540000000005,5.196397,6.139156,3.4062949999999996,5.152341000000001,8.997010000000001,4.442386,6.536428,4.382086,3.99735,5.606374,5.430803,4.524322,4.4246419999999995,5.041627,5.850908,4.512028,6.883611999999999,5.250089,4.127997,5.895278,5.66467,3.984975,5.594734,3.5892239999999997,8.169783,4.592829,4.374663,5.3255550000000005,6.171358000000001,5.068487,5.203875,4.952563,4.46986,7.528832,4.557643,4.431057,6.576528,5.377214,4.114542
4.4895,5.498623,4.474197,4.881784,4.7029440000000005,5.893257,4.524527,6.564805000000001,11.924338,6.729764,4.639176,5.445577,4.27681,6.734423,6.882294,6.464352,4.735521,5.888284,4.49179,3.5804400000000003,5.871699,5.201389,5.717524,3.335329,4.74092,8.457347,4.613841000000001,6.770861,4.639797,3.989813,5.936604,5.279954,4.797755,4.6515379999999995,5.194193,5.961844,3.8896610000000003,7.5711520000000005,6.521569,3.981739,6.668228,6.134323,4.257428,5.331804,3.662347,8.405764999999999,4.705493,4.370709,4.887133,5.675117,5.577016,5.682529,4.668571,4.999499,6.747685000000001,4.338847,4.592482,6.051209,5.238075,3.8415449999999995
4.2310669999999995,5.8962769999999995,4.307012,4.790335,4.89725,5.046269000000001,4.8303709999999995,6.551019999999999,11.732565,7.163408,4.489815,6.369934,4.646767,6.0421510000000005,6.541912,6.354598999999999,4.854805000000001,4.979902,4.693931,3.269705,5.367443,4.888791,6.146411,3.642494,4.712317,8.399644,4.20454,5.96391,4.625694,4.045687,5.720924,5.340388,4.433694,4.843417,4.348892,5.824351,4.282121,7.172700999999999,5.090126000000001,4.035817,6.344391000000001,5.185762,4.048813,5.450138,3.5610120000000003,8.227412,4.418736,4.678235,5.797292,6.571269999999999,5.312659,5.396808,4.495443,4.074771,6.737821,4.622033,4.513503,6.5577630000000005,5.5710370000000005,4.232419999999999
6.392614,5.501225,5.616611,5.34443,5.202026999999999,6.152389,4.567843,6.4918379999999996,9.422449,7.261092,4.398747,5.3901900000000005,5.275671,6.106949,6.834035000000001,7.342414999999999,4.703782,5.957591000000001,4.311555,3.365817,5.405581,4.997003,6.347392,3.534422,6.547778,9.213644,4.115889,6.682975999999999,4.036144,4.011443,5.437226,5.3504879999999995,5.125808,4.657252,5.0319959999999995,6.642527,4.438379,7.848563,4.92181,3.9021120000000002,6.229075,6.493779,4.100055,6.191211,3.579443,7.960689,4.644868,4.147839,5.216958999999999,6.001155000000001,5.226393,5.414502,4.71476,5.147794,7.019963000000001,4.5993949999999995,4.537694999999999,6.668275,5.054853,4.275066000000001
